Country Name,Country Code,Year,GDP_growth,treatment,post,did
Guyana,GUY,2000,-1.363803903,1,0,0
Barbados,BRB,2000,4.447189492,0,0,0
Jamaica,JAM,2000,0.87870355,0,0,0
Trinidad and Tobago,TTO,2000,6.901359591,0,0,0
Suriname,SUR,2000,2.099998868,0,0,0
Belize,BLZ,2000,12.24061207,0,0,0
Grenada,GRD,2000,4.887952137,0,0,0
Guyana,GUY,2001,2.279521659,1,0,0
Barbados,BRB,2001,-2.365464155,0,0,0
Jamaica,JAM,2001,1.344929566,0,0,0
Trinidad and Tobago,TTO,2001,4.168523982,0,0,0
Suriname,SUR,2001,4.200000421,0,0,0
Belize,BLZ,2001,4.993562061,0,0,0
Grenada,GRD,2001,-2.023900041,0,0,0
Guyana,GUY,2002,1.132626962,1,0,0
Barbados,BRB,2002,0.787401645,0,0,0
Jamaica,JAM,2002,1.997290942,0,0,0
Trinidad and Tobago,TTO,2002,7.936709687,0,0,0
Suriname,SUR,2002,2.800000689,0,0,0
Belize,BLZ,2002,5.399073207,0,0,0
Grenada,GRD,2002,3.43732353,0,0,0
Guyana,GUY,2003,-0.632225388,1,0,0
Barbados,BRB,2003,2.17548102,0,0,0
Jamaica,JAM,2003,3.66631759,0,0,0
Trinidad and Tobago,TTO,2003,14.44098954,0,0,0
Suriname,SUR,2003,6.299999433,0,0,0
Belize,BLZ,2003,9.665226796,0,0,0
Grenada,GRD,2003,9.463973431,0,0,0
Guyana,GUY,2004,1.56335211,1,0,0
Barbados,BRB,2004,1.411597864,0,0,0
Jamaica,JAM,2004,1.323725105,0,0,0
Trinidad and Tobago,TTO,2004,7.950051511,0,0,0
Suriname,SUR,2004,8.500000185,0,0,0
Belize,BLZ,2004,4.780665053,0,0,0
Grenada,GRD,2004,-0.647450316,0,0,0
Guyana,GUY,2005,-1.950957595,1,0,0
Barbados,BRB,2005,3.955457095,0,0,0
Jamaica,JAM,2005,0.893797935,0,0,0
Trinidad and Tobago,TTO,2005,6.20893788,0,0,0
Suriname,SUR,2005,4.500000211,0,0,0
Belize,BLZ,2005,2.219190537,0,0,0
Grenada,GRD,2005,13.27618833,0,0,0
Guyana,GUY,2006,5.129609348,1,0,0
Barbados,BRB,2006,6.070546794,0,0,0
Jamaica,JAM,2006,2.899125345,0,0,0
Trinidad and Tobago,TTO,2006,13.20805861,0,0,0
Suriname,SUR,2006,5.793543585,0,0,0
Belize,BLZ,2006,4.511454602,0,0,0
Grenada,GRD,2006,-3.995328244,0,0,0
Guyana,GUY,2007,7.191236241,1,0,0
Barbados,BRB,2007,2.079183605,0,0,0
Jamaica,JAM,2007,1.431954038,0,0,0
Trinidad and Tobago,TTO,2007,4.754209701,0,0,0
Suriname,SUR,2007,5.111487778,0,0,0
Belize,BLZ,2007,3.339397383,0,0,0
Grenada,GRD,2007,6.123450947,0,0,0
Guyana,GUY,2008,1.755223496,1,0,0
Barbados,BRB,2008,0.633460426,0,0,0
Jamaica,JAM,2008,-0.811736702,0,0,0
Trinidad and Tobago,TTO,2008,3.391737078,0,0,0
Suriname,SUR,2008,4.143406812,0,0,0
Belize,BLZ,2008,-1.627477764,0,0,0
Grenada,GRD,2008,0.947542625,0,0,0
Guyana,GUY,2009,3.611508472,1,0,0
Barbados,BRB,2009,-5.01727545,0,0,0
Jamaica,JAM,2009,-4.345301858,0,0,0
Trinidad and Tobago,TTO,2009,-4.391729247,0,0,0
Suriname,SUR,2009,3.013698983,0,0,0
Belize,BLZ,2009,-0.446709637,0,0,0
Grenada,GRD,2009,-6.613281348,0,0,0
Guyana,GUY,2010,4.138441601,1,0,0
Barbados,BRB,2010,-8.080721211,0,0,0
Jamaica,JAM,2010,-1.457147209,0,0,0
Trinidad and Tobago,TTO,2010,3.32322471,0,0,0
Suriname,SUR,2010,5.168825152,0,0,0
Belize,BLZ,2010,1.417410992,0,0,0
Grenada,GRD,2010,-0.511146187,0,0,0
Guyana,GUY,2011,5.196251561,1,0,0
Barbados,BRB,2011,-0.074211165,0,0,0
Jamaica,JAM,2011,1.73037627,0,0,0
Trinidad and Tobago,TTO,2011,-0.294354409,0,0,0
Suriname,SUR,2011,5.849367672,0,0,0
Belize,BLZ,2011,-0.130071123,0,0,0
Grenada,GRD,2011,0.76477355,0,0,0
Guyana,GUY,2012,5.27633062,1,0,0
Barbados,BRB,2012,-2.857970514,0,0,0
Jamaica,JAM,2012,-0.613636042,0,0,0
Trinidad and Tobago,TTO,2012,6.710746254,0,0,0
Suriname,SUR,2012,2.690349747,0,0,0
Belize,BLZ,2012,3.943893218,0,0,0
Grenada,GRD,2012,-1.154838164,0,0,0
Guyana,GUY,2013,3.653384333,1,0,0
Barbados,BRB,2013,0.195322007,0,0,0
Jamaica,JAM,2013,0.517686011,0,0,0
Trinidad and Tobago,TTO,2013,3.368192917,0,0,0
Suriname,SUR,2013,2.933441652,0,0,0
Belize,BLZ,2013,4.066465616,0,0,0
Grenada,GRD,2013,2.351098017,0,0,0
Guyana,GUY,2014,1.68649445,1,0,0
Barbados,BRB,2014,0.80732535,0,0,0
Jamaica,JAM,2014,0.68982236,0,0,0
Trinidad and Tobago,TTO,2014,3.67086851,0,0,0
Suriname,SUR,2014,0.255503032,0,0,0
Belize,BLZ,2014,3.892260672,0,0,0
Grenada,GRD,2014,7.34212396,0,0,0
Guyana,GUY,2015,0.687404591,1,1,1
Barbados,BRB,2015,-0.772620078,0,1,0
Jamaica,JAM,2015,0.921487124,0,1,0
Trinidad and Tobago,TTO,2015,-0.406283289,0,1,0
Suriname,SUR,2015,-3.413042681,0,1,0
Belize,BLZ,2015,2.760260274,0,1,0
Grenada,GRD,2015,6.445223147,0,1,0
Guyana,GUY,2016,3.807456264,1,1,1
Barbados,BRB,2016,1.416324468,0,1,0
Jamaica,JAM,2016,2.760437614,0,1,0
Trinidad and Tobago,TTO,2016,-7.536363054,0,1,0
Suriname,SUR,2016,-4.911660509,0,1,0
Belize,BLZ,2016,-0.018741496,0,1,0
Grenada,GRD,2016,3.739603956,0,1,0
Guyana,GUY,2017,3.734491546,1,1,1
Barbados,BRB,2017,0.654655603,0,1,0
Jamaica,JAM,2017,2.293033713,0,1,0
Trinidad and Tobago,TTO,2017,-4.872749469,0,1,0
Suriname,SUR,2017,1.566037825,0,1,0
Belize,BLZ,2017,-1.833237291,0,1,0
Grenada,GRD,2017,4.438675669,0,1,0
Guyana,GUY,2018,4.440912885,1,1,1
Barbados,BRB,2018,-0.252085326,0,1,0
Jamaica,JAM,2018,2.515844586,0,1,0
Trinidad and Tobago,TTO,2018,-0.945449701,0,1,0
Suriname,SUR,2018,4.948271085,0,1,0
Belize,BLZ,2018,0.822068593,0,1,0
Grenada,GRD,2018,4.361440394,0,1,0
Guyana,GUY,2019,5.352840035,1,1,1
Barbados,BRB,2019,0.241099789,0,1,0
Jamaica,JAM,2019,1.809431473,0,1,0
Trinidad and Tobago,TTO,2019,0.467734529,0,1,0
Suriname,SUR,2019,1.167589772,0,1,0
Belize,BLZ,2019,4.2565871,0,1,0
Grenada,GRD,2019,0.676511739,0,1,0
Guyana,GUY,2020,43.47965172,1,1,1
Barbados,BRB,2020,-17.40593147,0,1,0
Jamaica,JAM,2020,-8.304419236,0,1,0
Trinidad and Tobago,TTO,2020,-8.788798178,0,1,0
Suriname,SUR,2020,-15.97519171,0,1,0
Belize,BLZ,2020,-13.52289971,0,1,0
Grenada,GRD,2020,-13.75662226,0,1,0
Guyana,GUY,2021,20.05999756,1,1,1
Barbados,BRB,2021,8.01987701,0,1,0
Jamaica,JAM,2021,5.704679783,0,1,0
Trinidad and Tobago,TTO,2021,-0.716740626,0,1,0
Suriname,SUR,2021,-2.435385836,0,1,0
Belize,BLZ,2021,17.98992441,0,1,0
Grenada,GRD,2021,4.697724023,0,1,0
Guyana,GUY,2022,63.33463437,1,1,1
Barbados,BRB,2022,15.94532062,0,1,0
Jamaica,JAM,2022,6.439303237,0,1,0
Trinidad and Tobago,TTO,2022,0.861260827,0,1,0
Suriname,SUR,2022,2.406222356,0,1,0
Belize,BLZ,2022,9.250513295,0,1,0
Grenada,GRD,2022,7.31023807,0,1,0
Guyana,GUY,2023,33.79501112,1,1,1
Barbados,BRB,2023,1.814198178,0,1,0
Jamaica,JAM,2023,2.746344339,0,1,0
Trinidad and Tobago,TTO,2023,1.466459473,0,1,0
Suriname,SUR,2023,2.41659215,0,1,0
Belize,BLZ,2023,0.500127942,0,1,0
Grenada,GRD,2023,4.526574975,0,1,0
Guyana,GUY,2024,43.81927264,1,1,1
Barbados,BRB,2024,3.366949258,0,1,0
Jamaica,JAM,2024,-0.535039064,0,1,0
Trinidad and Tobago,TTO,2024,2.50920814,0,1,0
Suriname,SUR,2024,1.720957491,0,1,0
Belize,BLZ,2024,3.50466435,0,1,0
Grenada,GRD,2024,2.399647845,0,1,0
Guyana,GUY,2025,19.33600971,1,1,1
Barbados,BRB,2025,2.700000218,0,1,0
Jamaica,JAM,2025,0.081645488,0,1,0
Trinidad and Tobago,TTO,2025,-0.787768573,0,1,0
Suriname,SUR,2025,1.791691532,0,1,0
Belize,BLZ,2025,2.748317318,0,1,0
Grenada,GRD,2025,4.41201,0,1,0
